ticks;timestamp ms;expected ts ms;lag ms;actual delta ms;expected delta ms;delta diff ms;measure;message
4512;8004.195;7921.332;82.863;0.700;0.000;0.700;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4512;8004.319;7921.332;82.987;0.124;0.000;0.124;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4512;8004.413;7921.332;83.081;0.094;0.000;0.094;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4512;8004.500;7921.332;83.168;0.088;0.000;0.088;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4512;8005.087;7921.332;83.755;0.587;0.000;0.587;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4512;8005.808;7921.332;84.476;0.721;0.000;0.721;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4512;8006.521;7921.332;85.189;0.713;0.000;0.713;4;"JavaWrapperMessage(ticks=4512, isNote=true, isMeta=false)"
4524;8028.095;7942.399;85.696;21.574;21.067;0.507;4;"JavaWrapperMessage(ticks=4524, isNote=true, isMeta=false)"
4536;8049.774;7963.466;86.308;21.679;21.067;0.612;4;"JavaWrapperMessage(ticks=4536, isNote=true, isMeta=false)"
4608;8176.010;8089.870;86.140;126.236;126.404;-0.168;5;"-"
4608;8176.282;8089.870;86.412;0.272;0.000;0.272;5;"JavaWrapperMessage(ticks=4608, isNote=true, isMeta=false)"
4608;8176.845;8089.870;86.975;0.563;0.000;0.563;5;"JavaWrapperMessage(ticks=4608, isNote=true, isMeta=false)"
4704;8346.165;8258.409;87.756;169.320;168.539;0.781;5;"-"
4800;8515.537;8426.948;88.589;169.372;168.539;0.833;5;"-"
4800;8517.396;8426.948;90.448;1.860;0.000;1.860;5;"JavaWrapperMessage(ticks=4800, isNote=true, isMeta=false)"
4896;8686.609;8595.487;91.122;169.213;168.539;0.674;5;"-"
4896;8686.822;8595.487;91.335;0.213;0.000;0.213;5;"JavaWrapperMessage(ticks=4896, isNote=true, isMeta=false)"
4896;8687.718;8595.487;92.231;0.896;0.000;0.896;5;"JavaWrapperMessage(ticks=4896, isNote=true, isMeta=false)"
4896;8687.871;8595.487;92.384;0.153;0.000;0.153;5;"JavaWrapperMessage(ticks=4896, isNote=true, isMeta=false)"
4896;8688.711;8595.487;93.224;0.840;0.000;0.840;5;"JavaWrapperMessage(ticks=4896, isNote=true, isMeta=false)"
4992;8857.956;8764.026;93.930;169.244;168.539;0.705;5;"-"
4992;8858.260;8764.026;94.234;0.304;0.000;0.304;5;"JavaWrapperMessage(ticks=4992, isNote=true, isMeta=false)"
4992;8858.888;8764.026;94.862;0.628;0.000;0.628;5;"JavaWrapperMessage(ticks=4992, isNote=true, isMeta=false)"
5088;9028.119;8932.565;95.554;169.232;168.539;0.693;5;"-"
5088;9028.329;8932.565;95.764;0.210;0.000;0.210;5;"JavaWrapperMessage(ticks=5088, isNote=true, isMeta=false)"
5088;9028.906;8932.565;96.341;0.577;0.000;0.577;5;"JavaWrapperMessage(ticks=5088, isNote=true, isMeta=false)"
5184;9198.172;9101.104;97.068;169.265;168.539;0.726;5;"-"
5184;9198.521;9101.104;97.417;0.349;0.000;0.349;5;"JavaWrapperMessage(ticks=5184, isNote=true, isMeta=false)"
5184;9199.111;9101.104;98.007;0.590;0.000;0.590;5;"JavaWrapperMessage(ticks=5184, isNote=true, isMeta=false)"
5184;9199.223;9101.104;98.119;0.112;0.000;0.112;5;"JavaWrapperMessage(ticks=5184, isNote=true, isMeta=false)"
5184;9199.726;9101.104;98.622;0.502;0.000;0.502;5;"JavaWrapperMessage(ticks=5184, isNote=true, isMeta=false)"
5280;9368.902;9269.643;99.259;169.177;168.539;0.638;5;"-"
5280;9369.111;9269.643;99.468;0.208;0.000;0.208;5;"JavaWrapperMessage(ticks=5280, isNote=true, isMeta=false)"
5280;9369.665;9269.643;100.022;0.554;0.000;0.554;5;"JavaWrapperMessage(ticks=5280, isNote=true, isMeta=false)"
5376;9538.889;9438.182;100.707;169.224;168.539;0.685;5;"-"
5376;9539.119;9438.182;100.937;0.230;0.000;0.230;5;"JavaWrapperMessage(ticks=5376, isNote=true, isMeta=false)"
5376;9539.891;9438.182;101.709;0.772;0.000;0.772;5;"JavaWrapperMessage(ticks=5376, isNote=true, isMeta=false)"
5472;9709.047;9606.721;102.326;169.156;168.539;0.617;5;"-"
5472;9709.176;9606.721;102.455;0.129;0.000;0.129;5;"JavaWrapperMessage(ticks=5472, isNote=true, isMeta=false)"
5472;9709.440;9606.721;102.719;0.264;0.000;0.264;5;"JavaWrapperMessage(ticks=5472, isNote=true, isMeta=false)"
5472;9709.521;9606.721;102.800;0.081;0.000;0.081;5;"JavaWrapperMessage(ticks=5472, isNote=true, isMeta=false)"
5472;9709.915;9606.721;103.194;0.394;0.000;0.394;5;"JavaWrapperMessage(ticks=5472, isNote=true, isMeta=false)"
5568;9879.141;9775.260;103.881;169.227;168.539;0.688;5;"-"
5568;9880.061;9775.260;104.801;0.920;0.000;0.920;5;"JavaWrapperMessage(ticks=5568, isNote=true, isMeta=false)"
5568;9880.657;9775.260;105.397;0.596;0.000;0.596;5;"JavaWrapperMessage(ticks=5568, isNote=true, isMeta=false)"
5664;10049.861;9943.799;106.062;169.204;168.539;0.665;5;"-"
5664;10050.363;9943.799;106.564;0.502;0.000;0.502;5;"JavaWrapperMessage(ticks=5664, isNote=true, isMeta=false)"
5664;10051.171;9943.799;107.372;0.808;0.000;0.808;5;"JavaWrapperMessage(ticks=5664, isNote=true, isMeta=false)"
5664;10051.283;9943.799;107.484;0.112;0.000;0.112;5;"JavaWrapperMessage(ticks=5664, isNote=true, isMeta=false)"
5664;10051.860;9943.799;108.061;0.577;0.000;0.577;5;"JavaWrapperMessage(ticks=5664, isNote=true, isMeta=false)"
5760;10221.076;10112.338;108.738;169.217;168.539;0.678;6;"-"
5760;10221.357;10112.338;109.019;0.281;0.000;0.281;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10221.536;10112.338;109.198;0.179;0.000;0.179;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10221.665;10112.338;109.327;0.129;0.000;0.129;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10222.414;10112.338;110.076;0.749;0.000;0.749;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10222.527;10112.338;110.189;0.113;0.000;0.113;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10222.623;10112.338;110.285;0.096;0.000;0.096;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10222.709;10112.338;110.371;0.086;0.000;0.086;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10223.192;10112.338;110.854;0.483;0.000;0.483;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10223.761;10112.338;111.423;0.568;0.000;0.568;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
5760;10224.348;10112.338;112.010;0.587;0.000;0.587;6;"JavaWrapperMessage(ticks=5760, isNote=true, isMeta=false)"
